strain,phage,interaction
GCA_026304475.1,JZPO01000116.1,0
GCA_019007325.1,ABAZIO010000068.1,1
GCA_014809085.1,JACWYN010000198.1,1
GCA_012139125.1,ABOKCF010000057.1,0
GCA_011818065.1,AAQXDW010000030.1,1
GCA_027952485.1,ABDBDP010000017.1,0
GCA_011961765.1,AARHWJ010000037.1,1
GCA_020372805.1,ABDBXU010000060.1,1
GCA_023188615.1,DAHBJT010000008.1,1
GCA_015392295.1,JABKHQ010000231.1,1
GCA_011914465.1,AARCKW010000042.1,1
GCA_019012325.1,AARFTJ010000032.1,0
GCA_012253625.1,AASBEJ010000047.1,1
GCA_015595805.4,ABDDOG010000071.1,0
GCA_012128895.1,AASVGG010000051.1,0
GCA_012152335.1,AARTWQ010000065.1,1
GCA_012416285.1,AARPNA010000059.1,0
GCA_019251465.1,DAPQRJ010000055.1,0
GCA_001950695.1,CATQNF010000021.1,0
GCA_005038665.1,RRRM01000059.1,1
GCA_011967385.1,AARIHE010000053.1,1
GCA_012741115.1,AAVVDV010000058.1,0
GCA_002521905.1,AASNNR010000036.1,0
GCA_000171975.1,ABCUWU010000008.1,0
GCA_018933375.1,ABAWKZ010000032.1,1
GCA_036952105.1,ABCXKN010000129.1,0
GCA_012638785.1,JAHQAC010000056.1,0
GCA_014713895.1,DABVCF010000024.1,1
GCA_012474735.1,JABKEY010000346.1,0
GCA_012655915.1,AASZES010000079.1,1
GCA_012111795.1,AARRAH010000065.1,1
GCA_012771515.1,ABPQHT010000031.1,0
GCA_037981385.1,AASNDZ010000031.1,0
GCA_018968365.1,ABMJYW010000018.1,0
GCA_021438105.1,AARSYW010000070.1,0
GCA_026066395.1,SJHJ01000005.1,0
GCA_012249065.1,AASAUN010000059.1,1
GCA_000194335.2,AASDWP010000057.1,0
GCA_012012985.1,AARLAC010000043.1,1
GCA_012730355.1,AATDQX010000035.1,1
GCA_016768135.1,ABDQCL010000055.1,0
GCA_031627495.1,JANFIV010000046.1,1
GCA_011913185.1,ABGHPZ010000060.1,0
GCA_019569555.1,ABBWIO010000062.1,1
GCA_016439645.1,ABIMZO010000030.1,0
GCA_016580325.1,DADBRR010000076.1,1
GCA_946415175.1,ABMKCR010000023.1,0
GCA_029782945.1,JARENI010000030.1,1
GCA_012420225.1,ABBJMQ010000053.1,0
GCA_009880705.1,WSKC01000017.1,1
GCA_025577245.1,ABELZY010000044.1,0
GCA_012088515.1,NKPH01000054.1,0
GCA_025595305.1,AAWQRK010000031.1,0
GCA_017819695.1,AAVVCR010000062.1,0
GCA_018955995.1,FZFR01000132.1,0
GCA_030780305.1,AARFEO010000048.1,0
GCA_012135345.1,AARCSU010000062.1,0
GCA_025719215.1,ABIVQQ010000084.1,1
GCA_018091585.1,ABADVH010000014.1,1
GCA_012846255.2,AATJUG020000125.1,1
GCA_012234045.1,AARWXB010000050.1,1
GCA_017741115.1,AAZTGQ010000052.1,1
GCA_037209815.1,DAIVZO010000029.1,0
GCA_018278605.1,ABAJNR010000042.1,1
GCA_018415365.1,NJTO01000060.1,0
GCA_025732575.1,AATHWV010000059.1,0
GCA_012813535.1,AASUQM010000021.1,0
GCA_017192335.1,AAZFJD010000062.1,1
GCA_036603555.1,JAZINE010000122.1,1
GCA_012501615.1,ABMNGL010000048.1,0
GCA_020704055.1,JAEGFM010000023.1,0
GCA_002515565.1,NJXD01000021.1,1
GCA_012267165.1,AASBYL010000050.1,1
GCA_018037445.1,ABACCE010000067.1,1
GCA_020714945.1,ABDPZH010000030.1,1
GCA_017725055.1,AATDWE010000063.1,0
GCA_019958175.1,JAIOWK010000039.1,1
GCA_002473645.1,NWNB01000043.1,1
GCA_036974335.1,ABQNFV010000032.1,1
GCA_029942435.1,AARBBD010000037.1,0
GCA_012147125.1,SAHI01000064.1,0
GCA_034008475.1,ABFUYI010000034.1,0
GCA_032457675.1,ABNMXQ010000043.1,1
GCA_012365435.1,AATKXL010000045.1,0
GCA_020315095.1,ABBTKY010000044.1,0
GCA_036627555.1,DAPYZQ010000151.1,0
GCA_017180335.1,AAAGIV020000076.1,0
GCA_022957195.1,ABFTLZ010000035.1,1
GCA_011945585.1,AARGJG010000030.1,1
GCA_019944255.1,AATATM010000036.1,0
GCA_011825595.1,AAQXSJ010000060.1,1
GCA_022765145.1,ABHFTR010000060.1,0
GCA_013014205.1,AATOYD010000080.1,1
GCA_017736075.1,DADRZG010000062.1,1
GCA_911103945.1,CAUANW010000046.1,0
GCA_000326965.1,KB732134.1,1
GCA_014435285.1,AAVVCV010000053.1,1
GCA_023559345.1,DAPOFB010000061.1,0
GCA_009880745.1,WSKE01000019.1,1
GCA_033668205.1,AAQXZR010000095.1,0
GCA_004171205.1,AASURI010000107.1,0
GCA_032500885.1,ABERZS010000026.1,0
GCA_023828115.1,PJHR01000050.1,0
GCA_017597965.1,JAKVXK010000044.1,0
GCA_907166345.1,CAJRFM010000084.1,1
GCA_023192475.1,AAWHYG010000058.1,0
GCA_021566235.1,ABETGF010000030.1,1
GCA_012576725.1,AAQZAG010000048.1,0
GCA_022664555.1,ABGYCC010000043.1,0
GCA_025585595.1,DAJMKG010000056.1,1
GCA_031541285.1,DABATI010000049.1,0
GCA_023621185.1,AARSLU010000066.1,0
GCA_026669015.1,ABJREZ010000034.1,1
GCA_033595355.1,ABOTNF010000034.1,1
GCA_012497125.1,AASQQQ010000030.1,1
GCA_036439915.1,MOZB01000044.1,0
GCA_012055305.1,PIMI01000070.1,0
GCA_033188075.1,DAQSWU010000111.1,1
GCA_031094245.1,ABLYFH010000035.1,1
GCA_012053125.1,AARANC010000030.1,0
GCA_032650165.1,AAXDRU010000031.1,0
GCA_026897735.1,DALAIQ010000034.1,1
GCA_020773835.1,ABDSGI010000021.1,1
GCA_018096105.1,AASUHB010000065.1,0
GCA_012196985.1,AARXOW010000055.1,1
GCA_016607945.1,AAYRQD010000050.1,1
GCA_946063025.1,CAMGXT010000020.1,1
GCA_030199735.1,DAPKRF010000031.1,0
GCA_013056785.1,AATPVV010000050.1,1
GCA_014341175.1,AAVPPS010000033.1,1
GCA_016524455.1,DACZAP010000066.1,0
GCA_013651635.1,AARTFP010000044.1,0
GCA_012815275.1,AATIBR010000072.1,1
GCA_011828135.1,AAQXXZ010000059.1,1
GCA_026373615.1,ABJNQM010000085.1,1
GCA_030360225.1,AARSAG010000032.1,0
GCA_012129735.1,AATFMI010000071.1,0
GCA_014445995.1,AAVVVY010000096.1,1
GCA_958311905.1,DALXUU010000044.1,0
GCA_916172365.1,CAJZZT010000050.1,1
GCA_012372505.1,JAMESH010000005.1,0
GCA_014771975.1,AARYNB010000034.1,0
GCA_024396235.1,DAIHYY010000068.1,1
GCA_020292545.1,ABCXNM010000043.1,1
GCA_025786995.2,AARACH010000063.1,0
GCA_025043255.1,DAJAPV010000056.1,1
GCA_000358225.2,AQAI01000015.1,1
GCA_958429675.1,AAVVLC010000077.1,0
GCA_015675695.1,AARVKJ010000048.1,0
GCA_016858685.1,JAFCYE010000099.1,1
GCA_013771005.1,AAUNNY010000098.1,1
GCA_019468865.1,DAQCEA010000046.1,0
GCA_018601675.1,ABAQZU010000034.1,1
GCA_012319205.1,AASEVI010000038.1,1
GCA_958332565.1,ABOXYB010000025.1,0
GCA_014157155.1,AARDYV010000066.1,0
GCA_012807085.1,DABDRT010000084.1,1
GCA_032827095.1,ABOBFB010000041.1,1
GCA_037906695.1,JAWJJM010000054.1,1
GCA_025684895.1,DAJOMR010000099.1,1
GCA_028304125.1,ABKKLR010000046.1,1
GCA_033663805.1,DAJIQX010000040.1,0
GCA_014775975.1,DABWID010000068.1,1
GCA_902707105.2,ABCAQB010000033.1,0
GCA_012431585.1,AASMNX010000053.1,1
GCA_019185945.1,ABBFVA010000048.1,1
GCA_002464705.1,NXMZ01000226.1,1
GCA_026332795.1,ABNBNL010000044.1,0
GCA_017106725.1,AAZBVL010000049.1,1
GCA_029230595.1,ABLAPL010000021.1,1
GCA_016843325.1,NENZ01000019.1,0
GCA_038507755.1,DAEGQV010000055.1,0
GCA_026239035.1,AAVVEQ010000052.1,0
GCA_014242775.1,DABDLF010000045.1,0
GCA_027607535.1,ABFIST010000079.1,0
GCA_011032135.1,JAAKBW010000068.1,1
GCA_017818215.1,AAQXLS010000032.1,0
GCA_012091755.1,AARPQH010000168.1,1
GCA_012296045.1,AASFOI010000045.1,1
GCA_004193385.1,QKMW01000029.1,1
GCA_014957845.1,AAWOLS010000028.1,1
GCA_012747775.1,AATEKD010000057.1,1
GCA_029000345.1,ABKXBU010000083.1,1
GCA_008635895.1,AARUKW010000064.1,0
GCA_019003525.1,DAERDN010000034.1,1
GCA_028754745.1,ABDNOG010000072.1,0
GCA_033384835.1,DARAXI010000047.1,1
GCA_032429155.1,ABCYZM010000066.1,0
GCA_002229875.1,NLNW01000079.1,1
GCA_014816205.1,DABWRA010000114.1,1
GCA_019284235.1,ABCYXH010000044.1,0
GCA_017273095.1,DADNPZ010000058.1,1
GCA_012096245.1,ABAYFH010000034.1,0
GCA_012431145.1,ABEHRK010000106.1,0
GCA_012813275.1,DAJHOY010000110.1,0
GCA_014435945.1,AAVVDK010000001.1,1
GCA_012139025.1,AARSZC010000060.1,1
GCA_026476445.1,ABJOHW010000030.1,1
GCA_004011625.1,RXHE01000061.1,1
GCA_021492325.1,ABEQVK010000078.1,1
GCA_030473985.1,JASZOR010000025.1,1
GCA_027262955.1,ABJYRT010000006.1,1
GCA_024165645.1,JAKWLB010000044.1,1
GCA_903976145.1,DABDQM010000042.1,0
GCA_028144915.1,ABKIKY010000033.1,1
GCA_014411345.1,AAVTHU010000089.1,1
GCA_020288145.1,BGIO01000105.1,0
GCA_000263955.1,AJVT01000059.1,1
GCA_012091235.1,AARPNB010000057.1,1
GCA_032891045.1,ABOEMG010000032.1,1
GCA_014440425.1,AAVVLM010000149.1,1
GCA_031732275.1,JAVMQL010000020.1,1
GCA_000467695.1,AVDU01000091.1,1
GCA_025746255.1,ABIWXN010000053.1,1
GCA_012335975.1,AAZSZH010000049.1,0
GCA_012814395.1,AASTPC010000049.1,0
GCA_012217125.1,MIWW01000104.1,0
GCA_012732945.1,AATDWE010000063.1,1
GCA_004380535.1,MTXO01000016.1,1
GCA_014889745.1,AAWLKF010000030.1,1
GCA_019370545.1,JAKXJU020000021.1,0
GCA_015884005.1,JBBGLQ010000126.1,0
GCA_011913555.1,DAPOFN010000040.1,0
GCA_013424665.1,ABDSJI010000031.1,0
GCA_014469755.1,WSJR01000016.1,0
GCA_911104605.1,CAJVLX010000062.1,1
GCA_021055345.1,JAHVQC010000062.1,0
GCA_034049735.1,ABPGNF010000032.1,1
GCA_021225155.1,AARUKZ010000038.1,0
GCA_019846555.1,ABCGFB010000046.1,1
GCA_021080045.1,JAHVQC010000062.1,1
GCA_011837885.1,DAAYTT010000052.1,1
GCA_011904325.1,AARDVZ010000057.1,1
GCA_034237215.1,ABPIXY010000032.1,1
GCA_020369505.1,ABDBRU010000064.1,1
GCA_019005285.1,ABAZGO010000030.1,1
GCA_011903685.1,AASQYG010000037.1,0
GCA_024538975.1,DAFUVF010000078.1,0
GCA_932910215.1,CATRSA010000034.1,0
GCA_016243615.1,AAYBJR010000058.1,1
GCA_029134305.1,JALLKX010000034.1,1
GCA_018412385.1,ABLTJJ010000031.1,0
GCA_031779745.1,ABLWCZ010000033.1,0
GCA_031355575.1,ABMESY010000052.1,1
GCA_013675515.1,CAWNLE010000243.1,0
GCA_028249375.1,DANAZN010000046.1,1
GCA_012115155.1,AARRFV010000030.1,1
GCA_012098145.1,JAAAHN010000017.1,0
GCA_958309065.1,DAHBKL010000045.1,0
GCA_023187375.1,DAHBIB010000063.1,1
GCA_018091585.1,ABATVX010000050.1,0
GCA_033381515.1,ABOPVR010000040.1,1
GCA_011849645.1,AAQZJR010000059.1,1
GCA_014185315.1,DABPHF010000051.1,1
GCA_016547595.1,DAPOVV010000098.1,0
GCA_014294055.1,AAVOEW010000033.1,1
GCA_035820995.1,JAPQBV010000047.1,1
GCA_021649765.1,JAJAQO010000060.1,1
GCA_013694125.1,ABGOWJ010000066.1,0
GCA_029317815.1,ABLCMO010000016.1,1
GCA_014972385.1,AAWNQL010000036.1,1
GCA_946665645.1,DAMZIE010000104.1,0
GCA_012144645.1,AATDPU010000031.1,0
GCA_016438425.1,ABKOXS010000065.1,0
GCA_022502285.1,ABFICO010000051.1,1
GCA_017739955.1,AAZTEK010000062.1,1
GCA_012420745.1,ABNTHO020000037.1,0
GCA_012787675.1,AATGPT010000085.1,1
GCA_028144145.1,ABKIJV010000033.1,1
GCA_012611745.1,AASWOU010000143.1,1
GCA_023872025.1,JAMFIU010000017.1,1
GCA_012390075.1,AASJTY010000033.1,1
GCA_001285105.1,AARSUF010000032.1,0
GCA_026206155.1,DAJWXF010000064.1,1
GCA_902847875.1,CADHIQ010000166.1,1
GCA_019147165.1,JAEAAN010000041.1,1
GCA_014816205.1,DABWRA010000124.1,1
GCA_009761595.1,DABUWY010000024.1,0
GCA_023328505.1,BEMU01000112.1,0
GCA_028607565.1,ABKPIK010000040.1,1
GCA_037058655.1,ABQPCX010000033.1,1
GCA_958334575.1,CATVBH010000087.1,1
GCA_020292965.1,ABCXNY010000042.1,1
GCA_030397385.1,AARCAH010000032.1,0
GCA_003924115.2,RWGJ02000076.1,1
GCA_012215785.1,AARZOO010000042.1,1
GCA_011830035.1,AAQYAO010000031.1,1
GCA_006238775.1,WSKA01000024.1,0
GCA_028102585.1,ABKHKY010000111.1,1
GCA_018096105.1,ABAECE010000063.1,1
GCA_033972625.1,ABPEUC010000031.1,1
GCA_025259445.1,DAJEVT010000081.1,1
GCA_028545785.1,ABKNQD010000123.1,1
GCA_017102655.1,AAZBON010000116.1,1
GCA_012329045.1,ABCQZL010000031.1,0
GCA_003146055.1,DAEVPG010000046.1,0
GCA_910594975.1,CAJVCB010000042.1,1
GCA_024378675.1,ABHFKL010000032.1,1
GCA_025955265.1,ABJCVY010000071.1,1
GCA_019879805.1,JAINTE010000039.1,1
GCA_023193815.1,DAJJSJ010000074.1,0
GCA_015211885.1,ABARGA010000066.1,0
GCA_024378675.1,ABBMMW010000029.1,0
GCA_012764875.1,ABCUGX010000047.1,0
GCA_027258995.1,ABJYLG010000047.1,1
GCA_002548645.1,NOAV01000039.1,1
GCA_003010235.1,ABCYIV010000039.1,0
GCA_012302805.1,AASFUM010000033.1,1
GCA_031467365.1,ABMHKU010000030.1,1
GCA_012462455.1,NMIJ01000119.1,0
GCA_012574005.1,AASUCB010000065.1,1
GCA_029942435.1,JAMRDP010000063.1,1
GCA_030007995.1,JAAQNW010000069.1,1
GCA_016768115.1,AARSKF010000064.1,0
GCA_024539535.1,DAIKYZ010000089.1,1
GCA_016846085.1,ABQPRL010000065.1,0
GCA_027262235.1,AATXTD010000032.1,0
GCA_014435925.1,AAVVDB010000052.1,1
GCA_012036465.1,JAAUMR010000073.1,1
GCA_024063255.1,DAPKRL010000019.1,0
GCA_011967385.1,AARIHE010000046.1,1
GCA_018683195.1,JAGEWO010000045.1,1
GCA_031929105.1,ABMXET010000033.1,1
GCA_028777735.1,ABKSOK010000085.1,1
GCA_015226405.1,AAXAPY010000027.1,1
GCA_026485545.1,ABJOMH010000067.1,1
GCA_025089665.1,ABICHZ010000063.1,1
GCA_017722815.1,DAPGTW010000048.1,0
GCA_032362265.1,ABNJDX010000036.1,1
GCA_011923745.1,AARETT010000044.1,1
GCA_902841475.1,CADGKA010000120.1,1
GCA_028607565.1,AARKZE010000032.1,0
GCA_009798535.1,AATXUU010000053.1,0
GCA_946415505.1,CAMKSV010000034.1,1
GCA_020547685.1,ABKPHQ010000086.1,0
GCA_018182215.1,AATKAQ010000042.1,0
GCA_026671045.1,ABJRIY010000034.1,1
GCA_024979575.1,ABHZJK010000035.1,1
GCA_018940295.1,ABAWUS010000032.1,1
GCA_012060585.1,AARNMG010000111.1,1
GCA_026110335.1,DAQBZJ010000034.1,0
GCA_012741115.1,AATECV010000064.1,1
GCA_012907365.1,AATMKV010000036.1,1
GCA_022088565.1,ABFAPK010000029.1,1
GCA_012081485.1,ABNKSY010000062.1,0
GCA_004145705.1,ABJDVG010000041.1,0
GCA_021361645.1,DAJWSE010000055.1,0
GCA_012180365.1,ABADOM010000168.1,0
GCA_020010995.1,AAVICC010000029.1,0
GCA_012077395.1,AAROPO010000108.1,1
GCA_001748605.1,MIVL01000065.1,1
GCA_020006925.1,AARCZL010000046.1,0
GCA_900500425.1,AARUBY010000034.1,0
GCA_016991495.1,DADGUF010000041.1,1
GCA_023685925.1,NWNC01000055.1,0
GCA_001572295.1,DAKBZI010000032.1,0
GCA_020316575.1,ABCYUI010000072.1,1
GCA_019276955.1,ABBJLE010000029.1,1
GCA_028189025.1,ABKJMA010000035.1,1
GCA_012765515.1,DAKAJR010000047.1,0
GCA_011844585.1,AAQZAH010000032.1,1
GCA_020508805.1,JZPG01000045.1,0
GCA_018175035.1,DADZZC010000055.1,1
GCA_000782815.1,AAYMTQ010000065.1,0
GCA_025810135.1,ABIYRV010000045.1,1
GCA_020290965.1,ABBHVZ010000056.1,0
GCA_011870225.1,ABAGEI010000064.1,0
GCA_012893355.1,AAVVPF010000063.1,0
GCA_012690745.1,ABRTXR010000074.1,0
GCA_012856495.1,AAREHR010000032.1,0
GCA_014902335.1,JACOKE010000098.1,1
GCA_033605295.1,ABOTRC010000052.1,1
GCA_026324255.1,DAKAKC010000128.1,1
GCA_025137175.1,AARDEW010000031.1,0
GCA_023685925.1,AATJFY010000073.1,0
GCA_019903645.1,BNFI01000008.1,0
GCA_003924115.2,AAUTOM010000042.1,0
GCA_034235695.1,ABPYHF010000024.1,0
GCA_023188675.1,DAHBJV010000032.1,1
GCA_020966195.1,ABPLMB010000071.1,0
GCA_003984575.1,PNYN01000067.1,1
GCA_002515715.1,NJSZ01000070.1,1
GCA_035819535.1,CAJVJO010000058.1,0
GCA_024754805.1,AAZTEK010000062.1,0
GCA_012767995.1,ABCXZG010000024.1,0
GCA_016645605.1,AAYTAO010000031.1,1
GCA_030004515.1,JAAQIV010000112.1,1
GCA_037011705.1,ABQOGY010000057.1,1
GCA_000446545.2,AIAZ01000123.1,1
GCA_016542565.1,AAYOAI010000057.1,1
GCA_031543245.1,JADDTL010000067.1,0
GCA_021721275.1,NWQZ01000113.1,0
GCA_013551875.1,NJYO01000054.1,0
GCA_014816205.1,DAGYOR010000059.1,0
GCA_020971045.1,DAFGIU010000049.1,0
GCA_003028115.1,PYRY01000123.1,1
GCA_017687575.1,ABFBPO010000061.1,0
GCA_026331415.1,DAKAXO010000090.1,1
GCA_028058915.1,ABKGFI010000087.1,1
GCA_038374365.1,AARTJG010000079.1,0
GCA_012419025.1,AASLPS010000035.1,1
GCA_002476215.1,AASLGT010000007.1,0
GCA_020349385.1,JHGP01000029.1,0
GCA_032309975.1,AARRZY010000037.1,0
GCA_024936845.1,ABHXEB010000077.1,1
GCA_033174625.1,JAIHJP010000031.1,0
GCA_023801975.1,ABGQOJ010000048.1,1
GCA_018459805.1,DAECEI010000023.1,1
GCA_012372955.1,ABGQWQ010000035.1,0
GCA_004193385.1,AATLYW010000097.1,0
GCA_012240145.1,AARWWJ010000050.1,1
GCA_012749235.1,AASSOM010000076.1,0
GCA_019897865.1,ABHADK010000053.1,0
GCA_019326645.1,JAUDPB010000018.1,0
GCA_014059165.1,AAVGFE010000066.1,1
GCA_024985375.1,ABHZNG010000034.1,1
GCA_014733095.1,DABVKJ010000088.1,1
GCA_030306155.1,JAGMOH010000050.1,0
GCA_012358135.1,DAHJVB010000052.1,0
GCA_028604305.1,ABRMMR010000078.1,0
GCA_023097565.1,AAQZNL010000031.1,0
GCA_012037075.1,JAAUKC010000053.1,1
GCA_014913405.1,DABVJC010000059.1,0
GCA_026670335.1,ABJRHQ010000034.1,1
GCA_012456745.1,DADPSJ010000060.1,0
GCA_014785445.1,AAWJUR010000045.1,1
GCA_032515645.1,DAHDQD010000035.1,0
GCA_005043965.1,ABCZIB010000072.1,0
GCA_902839435.1,CADGCD010000045.1,1
GCA_012439255.1,AASNCF010000029.1,1
GCA_016556365.1,AAYOZM010000070.1,1
GCA_012724015.1,AATDKA010000064.1,1
GCA_018769485.1,ABASXP010000030.1,1
GCA_013076065.1,ABBAWM010000030.1,0
GCA_958312385.1,ABKCBM010000034.1,0
GCA_018035525.1,AAWWIH010000146.1,0
GCA_011927245.1,AARFAK010000054.1,1
GCA_028071135.1,ABKGUJ010000034.1,1
GCA_012308945.1,CAJRFM010000084.1,0
GCA_011981625.1,AARXUJ010000057.1,0
GCA_032794365.1,AARDKZ010000033.1,0
GCA_018313195.1,ABALDK010000034.1,1
GCA_029999955.1,JAAPBU010000074.1,1
GCA_012462125.1,AASOOG010000066.1,1
GCA_019868325.1,ABCGUP010000037.1,1
GCA_012081695.1,ABNMJV010000056.1,0
GCA_027847415.1,ABKCTK010000033.1,1
GCA_011843845.1,AASMYA010000030.1,0
GCA_032381615.1,ABNJXI010000050.1,1
GCA_004171235.1,ABMXGU010000067.1,0
GCA_025294395.1,ABIIBI010000031.1,1
GCA_019201955.1,JAAUHQ010000042.1,1
GCA_026239165.1,JAEHAO010000022.1,1
GCA_023760775.1,DAHKHM010000137.1,1
GCA_031189795.1,ABMBBG010000031.1,1
GCA_019985645.1,DABCUA010000058.1,0
GCA_012258645.1,AASBPO010000077.1,1
GCA_011863805.1,ABALAC010000068.1,0
GCA_902845705.1,CADHAD010000054.1,1
GCA_029430045.1,DABHVH010000035.1,0
GCA_902849105.1,CADHNR010000011.1,1
GCA_012657875.1,AASZFQ010000038.1,1
GCA_029430045.1,JANAMX010000080.1,1
GCA_025043355.1,DAJAQC010000100.1,1
GCA_012069995.1,DAAYZC010000018.1,1
GCA_012464665.1,AASOTD010000033.1,1
GCA_018482125.1,CADGDP010000063.1,0
GCA_005391005.1,BFXX01000245.1,1
GCA_012816815.1,AATIDQ010000034.1,1
GCA_012557165.1,ABIMHS010000034.1,0
GCA_034839175.1,AAXPHT010000033.1,0
GCA_946665645.1,CAMPDB010000012.1,1
GCA_020858575.1,JADCOJ010000062.1,1
GCA_011816065.1,ABLCDE010000045.1,0
GCA_025300715.1,AAQZQQ010000063.1,0
GCA_036603975.1,JAZIOE010000021.1,1
GCA_025380705.1,DAJIQX010000112.1,1
GCA_015321945.1,AAXDPZ010000094.1,1
GCA_002511105.1,NMIJ01000119.1,1
GCA_029361205.1,VZID01000051.1,0
GCA_012091555.1,AARPQO010000089.1,1
GCA_018023235.1,ABNOTD010000039.1,0
GCA_002134745.1,NTOH01000055.1,0
GCA_032673045.1,JAVSTG010000046.1,1
GCA_032012125.1,ABMYST010000032.1,1
GCA_022953405.1,AARACS010000098.1,0
GCA_012882475.1,AATKWZ010000046.1,1
GCA_014772095.1,DABWEC010000065.1,1
GCA_011864685.1,AARANB010000045.1,1
GCA_028086395.1,NMIJ01000119.1,0
GCA_021084845.1,ABKASY010000047.1,0
GCA_012121575.1,AAVLRC010000062.1,0
GCA_005380665.1,AAVVNF010000082.1,0
GCA_014657955.1,AATBTW010000065.1,0
GCA_020352155.1,ABDASY010000072.1,1
GCA_023172055.1,ABFYYZ010000032.1,1
GCA_017679305.1,AAZRYY010000029.1,1
GCA_009768365.1,DAJVEX010000087.1,0
GCA_012258965.1,AASBMN010000029.1,1
GCA_027986845.1,JAPMGW010000041.1,1
GCA_019060435.1,DAESBB010000032.1,1
GCA_017003235.1,DADHEM010000060.1,1
GCA_016243615.1,JAXACR010000045.1,0
GCA_018626955.1,ABARNT010000043.1,1
GCA_004278515.1,ABQSHZ010000054.1,0
GCA_011969465.1,ABIYVL010000002.1,0
GCA_012994285.1,JZOQ01000120.1,0
GCA_022588095.2,ABFJHU020000052.1,1
GCA_038450365.1,ABJRIY010000034.1,0
GCA_026380215.1,DAKDKA010000056.1,1
GCA_013011495.1,ABHLIE010000032.1,0
GCA_012991945.1,DADEPX010000061.1,0
GCA_012700245.1,AATBLY010000055.1,1
GCA_031062695.1,DAPDVI010000038.1,1
GCA_012631265.1,ABCYQE010000022.1,0
GCA_024415635.1,ABCXTA010000080.1,0
GCA_037167265.1,ABKISM010000054.1,0
GCA_036974035.1,AASGOX010000029.1,0
GCA_021882415.1,AASYWZ010000055.1,0
GCA_014827175.1,DABXCB010000119.1,1
GCA_011811685.1,CATVHA010000106.1,0
GCA_011961645.1,AARHVF010000034.1,1
GCA_027993325.1,ABKENX010000032.1,1
GCA_012977975.1,JABBJQ010000104.1,1
GCA_013736015.1,AAULCO010000032.1,1
GCA_012070175.1,AAROCH010000064.1,1
GCA_020621465.1,ABHCWW010000051.1,0
GCA_020830805.1,ABDUHE010000050.1,1
GCA_012332925.1,AASGVU010000035.1,0
GCA_017686795.1,LM995692.1,0
GCA_001309775.1,LECI01000007.1,1
GCA_005043865.1,ABIQEB010000032.1,0
GCA_005044995.1,JAPMBK010000052.1,0
GCA_014437165.1,AAVVGC010000063.1,1
GCA_018533705.1,AASBLB010000077.1,0
GCA_019885185.1,BGID01000025.1,0
GCA_012087735.1,DAEVPA010000023.1,0
GCA_958309015.1,AAQWXQ010000065.1,0
GCA_025296775.1,DAJHAJ010000086.1,1
GCA_002476125.1,AARITH010000030.1,0
GCA_012111475.1,AATAMT010000059.1,0
GCA_017908875.1,NLYH01000051.1,0
GCA_903976595.1,CAJDEC010000037.1,1
GCA_018047425.1,ABCYQN010000031.1,0
GCA_020613015.1,AATAMG010000096.1,0
GCA_026669575.1,ABJRGD010000057.1,1
GCA_037635095.1,JBBGKM010000090.1,1
GCA_016768115.1,JABEGA010000048.1,1
GCA_012766675.1,JAYWMY010000068.1,0
GCA_014437165.1,AAVVGC010000045.1,1
GCA_017717915.1,AAZSPZ010000102.1,1
GCA_012541935.1,AASRWE010000064.1,1
GCA_033821415.1,ABLYFH010000035.1,0
GCA_018950095.1,ABAXAF010000051.1,1
GCA_029586215.1,AASNDJ010000052.1,0
GCA_020386455.1,AATBGD010000068.1,0
GCA_023718675.1,JAKYNN010000021.1,1
GCA_012602835.1,DAESYB010000057.1,0
GCA_011829775.1,AAQYAH010000034.1,1
GCA_020306125.1,AAWHSX010000031.1,0
GCA_012930545.1,JABAWP010000052.1,1
GCA_001749315.1,AARWYE010000061.1,0
GCA_028235215.1,AASFVT010000066.1,0
GCA_022018755.1,AARPKS010000056.1,0
GCA_023876205.1,JAKXQF010000086.1,1
GCA_011935645.1,AAXULG010000062.1,0
GCA_020318455.1,ABCYXZ010000050.1,1
GCA_014536065.1,AAYTAO010000031.1,0
GCA_018092865.1,ABADXP010000033.1,1
GCA_017102655.1,ABDQKL010000050.1,0
GCA_017775475.1,AASGGM010000077.1,0
GCA_029125525.1,JAEFZQ010000049.1,1
GCA_032305295.1,JADAQB010000058.1,0
GCA_037816245.1,ABRJUW010000060.1,1
GCA_012576805.1,AASUHW010000098.1,1
GCA_000778395.1,ABHICD010000031.1,0
GCA_018533885.1,BEJE01000004.1,0
GCA_014249475.1,AASKUI010000060.1,0
GCA_958333885.1,AAQWIP010000038.1,0
GCA_038374365.1,ABRTPJ010000070.1,1
GCA_023476505.1,CAJDCB010000041.1,0
GCA_016390775.1,AARUAV010000057.1,0
GCA_031732375.1,JAVMQN010000021.1,1
GCA_012084215.1,AATUAK010000031.1,0
GCA_000478705.1,AWFJ01000082.1,1
GCA_012258645.1,JARXDL010000039.1,0
GCA_000194335.2,RRMG01000042.1,0
GCA_011945845.1,AARGJA010000042.1,1
GCA_011904145.1,NLGN01000073.1,0
GCA_012200045.1,AARYLT010000042.1,1
GCA_017313235.1,JAFLQD010000062.1,1
GCA_031465435.1,ABLJDO010000030.1,0
GCA_030342625.1,JATAQW010000044.1,1
GCA_025321945.1,ABIJGP010000055.1,1
